ticker,da,roa,at
MMM,0.43401775804661485,0.21104328523862376,0.23240843507214207
AOS,0.4855091730922627,0.18891252326508906,0.4096649827173624
ABT,0.6508468267262237,0.2626713815993548,0.3596997332340716
ABBV,0.8674501636417733,0.32525042150153727,0.09520975900029753
ABMD,0.17334484548184212,0.12997658441349824,0.1866188263786776
ACN,0.7159524733050837,0.22229659545282413,0.4932516217330316
ATVI,0.2912508316699933,0.13739188290086493,0.07351962741184298
ADM,0.6267598289706956,0.05621024090103243,0.8159349254353947
ADBE,1.3570149089684764,0.420514718362963,0.07234661821298288
ADP,0.9895758849145162,0.049168883542030264,0.06929528779843096
AES,0.9124314442413163,0.12815356489945157,0.3517367458866545
AFL,23.50455806579469,-0.31906460562822037,1.4161712247324614
AIG,23.905843241111175,-0.29864202400405704,1.0263143066433764
APD,0.39427928025463915,0.1715782863824351,0.3228027629214213
AKAM,0.26732368845578436,0.20040125861392746,0.1095599287992234
ALK,1.51952770208901,0.42779291553133514,0.6571298819255222
ALB,0.721533979912192,0.15731269723295116,0.2893156092746701
ARE,1.371942954279533,1.1482703048767027,0.36095105636134844
ALGN,0.5779464245981114,0.2906217475137472,0.11277189705754398
ALLE,0.5264173186153681,0.17940199335548174,0.6225484942664238
LNT,1.8707097933513028,0.5531895777178796,0.27511230907457324
ALL,15.11778804999144,1.6072590309878445,0.28779318609827087
GOOGL,0.26438749511317217,0.15459227004947493,0.11841626336294639
GOOG,0.26438749511317217,0.15459227004947493,0.11841626336294639
MO,1.7855977627592636,0.8149615474248427,0.4434863668142624
AMZN,0.9124901965744934,0.24760290434386623,0.6326182103372379
AMD,0.47648261758691207,0.19861963190184048,0.3090490797546012
AEE,1.528428093645485,0.6909698996655519,0.4060200668896321
AAL,2.04346009193481,0.45225658169661515,0.7624320936063519
AEP,2.0668202764976957,0.9619815668202765,0.0736847158218126
AXP,0.11577174314941868,0.05698204675239308,0.3583665420483957
AMT,2.0268416596104997,0.6496613039796783,0.17743437764606265
AWK,1.8623279098873593,1.2678347934918648,0.49436795994993743
AMP,0.03799621928166352,0.20831758034026465,0.4251417769376181
ABC,1.0515156127597367,0.042113419802194324,1.5801571047745038
AME,0.48874518965013397,0.12311855025825373,0.4293565133809586
AMGN,0.345785965025281,0.14257189784548002,0.042188657370133005
APH,0.5015358442417656,0.1563962005576296,0.3399414016350834
ANSS,0.3928202509314175,0.2508103788178998,0.034292910283810825
ANTM,0.5881429728635075,-0.4829637505062778,1.1581865127582016
AON,0.9695762877848143,0.04145720441339688,0.11386041653065222
APA,0.9746321664129883,0.6433282597666159,0.10603754439370877
AAPL,0.6492976863879523,0.14932532444002236,0.2721119771034093
AMAT,0.435724083872232,0.1601019008426416,0.2077209484616892
APTV,0.7195914577530177,0.12571959145775302,0.5351903435468895
ANET,0.16917220607205238,0.1287715789928466,0.09476456755605754
AIZ,14.89704425363276,0.13366908850726553,0.898076287978864
T,1.3438406154453102,0.5194397869612388,0.3600946838938751
ATO,2.6405199648058755,0.9388294678744452,0.02984514148605662
ADSK,1.6640496836184673,0.44715256620576516,0.04657839231310054
AZO,1.0961396468460443,0.423649522688337,0.36948725163735646
AVB,2.126142020429347,1.3724225639235317,0.4592145580135468
BKR,0.6318640395422845,0.07454803981312208,0.056537341729297856
BLL,0.9853747714808044,0.12222512405327762,0.6526508226691042
BAC,0.18382912435217638,0.04109523381564363,0.09555136155297923
BAX,0.36213592233009706,0.17059639389736478,0.3208044382801664
BDX,0.8485894357743097,0.3400360144057623,0.3478391356542617
WRB,21.93026521444834,-0.14426927573687773,2.5634631714971388
BIO,0.21197168241168335,0.149929284168249,0.22529878415652813
TECH,0.22520506703746698,0.302118919746393,0.379614486726454
BIIB,0.5246324660874506,0.3752396960299235,0.050898416230676355
BLK,0.23943392618091414,1.1103461464907247,0.291451520367183
BK,1.9521064301552107,0.19334811529933482,0.3804878048780488
BA,0.9034980719288581,0.030003147871252064,0.16654206342960573
BKNG,0.5497215592680986,0.4108989657915672,0.09029435163086715
BWA,0.6333082518184099,0.13142713819914723,0.49360421369450713
BXP,0.832375910980224,0.567215274024094,0.35672277000118047
BSX,0.8776562822364349,0.3981844439859707,0.4095316690736538
BRO,0.9505068030316866,0.2018993699205552,0.8251301251027303
CHRW,0.824309908524832,0.23682198687578565,0.0004998202871799356
CDNS,0.534495443069866,1.2632300796894416,0.173927367893004
CZR,0.5895353012384411,0.3887598350015096,0.15923154362735714
COF,0.4306737973242391,0.38301822759639204,0.22909607187669623
CAH,1.6731612274719923,0.3594739405747686,0.7038480272771553
KMX,0.025265450585352574,0.09278518921862237,0.2861421181595426
CCL,0.9508328062407759,0.07079907231709888,1.503773982711364
CARR,0.41262309306017037,0.20486425309289177,1.3316925356705098
CTLT,3.293510324483776,1.0873893805309736,1.3023598820058997
CBOE,0.48610672560783075,0.14027470792548152,0.38443321755604676
CBRE,0.694611848825332,0.08695097037793667,0.21882022471910112
CDW,0.4065372829417773,0.6006128702757916,0.7791624106230848
CE,0.8539610289799946,0.175349756723312,0.6640381876046119
CNC,0.754545666193281,0.19009149535538844,1.0560612762787231
CNP,0.5392191347168483,0.14562082307421736,0.4583186774533943
CF,0.9130912358952169,0.029557634057850415,0.03777918317078854
CRL,0.45258052359654743,0.5230949835478008,0.12280543207243486
SCHW,0.7459556620730977,0.1366087477531456,0.4853205512282804
CHTR,0.7009883721528125,0.2530997822928054,0.16149307851547756
CVX,0.07263480150108631,0.06112976496148528,0.07273355717953782
CMG,3.5365997638724913,2.9740259740259742,0.40554899645808734
