ticker,da,roa,net_profit_margin,asset_turnover,debt_ratio
MMM,0.45067637054030535,0.29981805236927456,0.9427860696517413,0.3180128154418163,0.45067637054030535
AOS,0.4302871425958666,0.18545388038773394,0.49901574803149606,0.3716393342681217,0.4302871425958666
ABT,0.34043937346744735,0.15292999049191813,0.5760603204524034,0.2654756543061602,0.34043937346744735
ABBV,0.7227331682584601,0.319243013795543,3.541530412034009,0.09014267185473411,0.7227331682584601
ABMD,0.1681461322542496,0.315193137939387,5.059280944103925,0.062299987176381744,0.1681461322542496
ACN,0.8169321334120431,0.25965552460414243,0.45130457522665807,0.5753443214568255,0.8169321334120431
ATVI,0.4055606617647059,0.24586397058823528,1.9073083778966131,0.12890625,0.4055606617647059
ADM,0.6274929948903907,0.04900829624745893,0.06348302611913743,0.7719905499697819,0.6274929948903907
ADBE,0.5036015846807366,0.2532683585811896,6.403868649732621,0.039549274420512086,0.5036015846807366
ADP,0.9129542817074776,0.037282561767614755,0.6591598094413166,0.05656073266847731,0.9129542817074776
AES,1.0147198480531814,0.09860715416270972,0.31306532663316583,0.31497309275087054,1.0147198480531814
AFL,25.478189493433394,-0.37476547842401503,-0.2274409336749217,1.647748592870544,25.478189493433394
AIG,25.88770685579196,-0.28191489361702127,-0.25561178922298305,1.102902547938009,25.88770685579196
APD,0.4550589115391808,0.11892650084159341,0.42792732166890984,0.2779128483261642,0.4550589115391808
AKAM,0.3222527914002182,0.31834761704419645,1.8363517793925843,0.17335873257873133,0.3222527914002182
ALK,1.2263917525773196,0.3303092783505155,0.6282352941176471,0.5257731958762887,1.2263917525773196
ALB,0.4462169214243203,0.12336875263104415,0.5844856414598816,0.2110723410123532,0.4462169214243203
ARE,2.8844829133276733,3.215283098309624,2.3231528813305737,1.3840170072957434,2.8844829133276733
ALGN,0.423431703052764,0.2700469088596542,3.166212820662654,0.08529019499173662,0.423431703052764
ALLE,0.5204957102001907,0.14430409914204004,0.2449929192797896,0.5890133460438512,0.5204957102001907
LNT,1.4829998772554314,0.38676813551000366,0.6999111505997334,0.5525960476248926,1.4829998772554314
ALL,31.244260444109898,3.079789235980429,5.828347578347579,0.5284155062100113,31.244260444109898
GOOGL,0.16625736301674585,0.13913654725677577,1.5074713197724863,0.09229797305714235,0.16625736301674585
GOOG,0.16625736301674585,0.13913654725677577,1.5074713197724863,0.09229797305714235,0.16625736301674585
MO,1.2105833875515073,0.675341574495771,0.871536523929471,0.774886141834743,1.2105833875515073
AMZN,0.9881239788328822,0.27453849342795134,0.4239662574376742,0.6475479796132367,0.9881239788328822
AMD,1.7600254614894972,0.4875875238701464,0.9922279792746114,0.49140674729471673,1.7600254614894972
AEE,1.4625998547567176,0.42420116194626,0.7574971632355325,0.5600036310820624,1.4625998547567176
AAL,2.2032554476240485,0.5579942242058283,1.4646819654055545,0.38096613284326597,2.2032554476240485
AEP,0.11254188292490638,0.04483936666447671,0.21469015413652093,0.208856185533145,0.11254188292490638
AXP,1.8188293609961177,1.2493938457664058,2.592681781346692,0.48189247703103966,1.8188293609961177
AMT,3.2933168316831685,0.018564356435643563,0.04297994269340974,0.4319306930693069,3.2933168316831685
AWK,42.863932291666664,0.2591145833333333,0.3616537937301227,0.7164713541666666,42.863932291666664
AMP,1.0875884774329965,0.04560817602604089,0.028699265949915207,1.5891756989755217,1.0875884774329965
ABC,0.5561733732080012,0.11615499702951981,0.24973354369462847,0.46511572018356057,0.5561733732080012
AME,0.16132694769002107,0.09392675777218117,3.611111111111111,0.02601048676768094,0.16132694769002107
AMGN,0.4292906522392546,0.13841298467087465,0.49609480204686235,0.27900510970844605,0.4292906522392546
APH,0.5030866157705939,0.3502736627216042,1.1488824747706354,0.3048820661935272,0.5030866157705939
ANSS,0.6077962440783503,-0.44495794585073806,-0.42440558147181523,1.0484262348945752,0.6077962440783503
ANTM,0.857261889501346,0.017113190616587618,0.1270823417420276,0.13466222279194975,0.857261889501346
AON,0.6182483322573703,0.15343232192812567,1.2530755711775043,0.12244458790617603,0.6182483322573703
APA,0.7202834994462901,0.15493244739756368,0.6263610315186247,0.2473532668881506,0.7202834994462901
AAPL,0.3433351661299191,0.13353232267693033,0.8317025440313112,0.1605529809127327,0.3433351661299191
AMAT,0.7129423833133869,0.11198495469310993,0.2622097678142514,0.42708155240212003,0.7129423833133869
APTV,0.3133595562051705,0.13327440284138686,1.7862191784589574,0.0746125696379366,0.3133595562051705
ANET,23.586094928851114,0.1159392608155859,0.08207693867892638,1.412568045076879,23.586094928851114
AIZ,0.8966328645862514,0.4203036584682615,1.2985978881772546,0.32365958877248024,0.8966328645862514
