ticker,da,roa,at
MMM,-0.06785711333413091,-0.06652230171227999,-0.09892746651847996
AOS,-0.06849802793410234,-0.07080508119401385,-0.06353012515253678
ABT,-0.0690294526970239,-0.0742301274857068,-0.09618776772199092
ABBV,-0.05582380925057928,-0.07275437089397353,-0.09163892478156341
ABMD,-0.0816087593602036,-0.07719928317818014,-0.13174415605282988
ACN,-0.061454272000795986,-0.06828204361668971,-0.0576855995751383
ATVI,-0.08013058278552775,-0.07471526105575083,-0.1661542061836596
ADM,-0.06641960281866646,-0.08293450048769865,-0.007637513419936007
ADBE,-0.06388229591699442,-0.05415796367503784,-0.16119455194092772
ADP,-0.05676062228464924,-0.08533648336810017,-0.16025137489056612
AES,-0.06085479367777598,-0.07581914788949358,-0.07194346634468321
AFL,-0.08552496733390956,-0.09847762881695986,0.03915961403049239
AIG,-0.10893156606317625,-0.09891250837965034,0.009993416597471955
APD,-0.07547324559783654,-0.0811335924272649,-0.10509121837303441
AKAM,-0.07756540794216288,-0.07125503917635627,-0.1455684598203143
ALK,-0.055208517523913245,-0.07296723676700961,-0.09454626607474907
ALB,-0.06245429486777703,-0.07691636495849113,-0.10298556631449281
ARE,0.09421006578121842,0.06113202303341041,0.14555184459288462
ALGN,-0.06355446027992526,-0.06179791661475517,-0.14776990374669938
ALLE,-0.06563345527374252,-0.07716637025195497,-0.051436427206805586
LNT,-0.03926897281692568,-0.037914120617334034,-0.087962680159042
ALL,0.2733250677103922,0.03259979458752769,-0.11408046352276362
GOOGL,-0.07543093757183696,-0.0702534131901297,-0.13645899161631672
GOOG,-0.07543093757183696,-0.0702534131901297,-0.13645899161631672
MO,-0.04489601117322362,-0.037415137988679674,-0.04441986697261492
AMZN,-0.05854841797547729,-0.06644270112141842,-0.034352003177764434
AMD,-0.07209366944517155,-0.06553859279733533,-0.09107708164298031
AEE,-0.05328727240065498,-0.028557109155780195,-0.14894810818914478
AAL,-0.05578598530965877,-0.07955906145243972,-0.08347974830841437
AEP,-0.03363725320221651,-0.026798993197579148,-0.1604027650094746
AXP,-0.0831214105126377,-0.07895893444837808,-0.09679810124416624
AMT,-0.04651131939277947,-0.06732630472567332,-0.11121836026088135
AWK,-0.05056161390987674,-0.031136162201047406,-0.10440728190138517
AMP,-0.08434363022632968,-0.05177989421154343,-0.1896908080555544
ABC,-0.05339428868654418,-0.0822849591634474,0.2029008393672391
AME,-0.06164561087072776,-0.07418951236948403,-0.0370957962110059
AMGN,-0.06718700465866856,-0.07714916273782754,-0.13753448847163713
APH,-0.07297627079737096,-0.07621930721079036,-0.10324753017611708
ANSS,-0.07524305056626006,-0.06922321851615422,-0.1659599298907799
ANTM,-0.06511504854711506,-0.12454012220423966,0.12450801357586638
AON,-0.05736249708377633,-0.08465192633330328,-0.1449763975337261
APA,-0.05720442650612457,-0.09862029194311651,-0.16149465459935927
AAPL,-0.05747551879603845,-0.06556088758039523,-0.07219689097147929
APTV,-0.0712810505156641,-0.08604573008473648,-0.06052953490472768
ANET,-0.07959782754760147,-0.07805715695632658,-0.1545089723216208
AIZ,-0.08555667921395865,-0.06874808970045633,0.022897848251801054
T,-0.04253228059692387,-0.0541867670349247,-0.09889765109708824
ATO,-0.04824263849798774,-0.07282577812617588,-0.16756155887087473
AVB,-0.03759773984629149,-0.008382477061625461,-0.07226544958536288
BKR,-0.06659691501346152,-0.06305731240344518,-0.1633896319705989
BLL,-0.05429065024857378,-0.08005908561728595,-0.04240539935714923
BAC,-0.08344143050892448,-0.08413090217059205,-0.1627187528608376
BAX,-0.07284319490305148,-0.07354819503970109,-0.09032906824655282
BDX,-0.06293419565642196,-0.08110277222929435,-0.04277650222662827
WRB,0.1261796771512106,-0.09138994799878508,0.05688219383510913
BIO,-0.07760505667082801,-0.07229081162241886,-0.11938484011757435
TECH,-0.07812095852573991,-0.061240455881302294,-0.08346082506436503
BIIB,-0.06781325954689518,-0.06843439276774897,-0.13316619391289797
BLK,-0.081501396896996,-0.025742257615437768,-0.12134423205440316
BK,-0.0328916916043378,-0.07088859289032595,-0.06709022056564887
BA,-0.0634148558271328,-0.08540241009247013,-0.14522483085457483
BKNG,-0.07340649944158421,-0.07296095807435762,-0.13471738387502147
BWA,-0.06857349831491998,-0.0784768097779706,-0.04940975021037877
BXP,-0.06913415182914814,-0.0524150673124688,-0.11045457803480213
BSX,-0.06607320032434068,-0.06029457427134079,-0.07984063214956422
BRO,-0.061468747374988565,-0.08736120088443763,0.0766224370038488
CHRW,-0.05990281068891412,-0.06834650400509025,-0.17508096042170695
CDNS,-0.06341127283400981,0.016489812262662315,-0.14042389809557973
