ticker,da,roa,at
MMM,-0.06528814405895714,-0.05623005987072197,-0.0783168496264513
AOS,-0.06404868385158415,-0.06205091377513952,-0.045234418142710495
ABT,-0.06319493696701851,-0.0669479551967033,-0.06433281316580229
ABBV,-0.048268012767039445,-0.06804257255681762,-0.045678949239118215
ABMD,-0.07753557308682808,-0.06790364313672387,-0.11371673158716197
ACN,-0.05919469474531691,-0.06307253596212244,-0.05017301959240789
ATVI,-0.07442378290471306,-0.06550788863904008,-0.1426165864801392
ADM,-0.06251367007631621,-0.07396860011336696,0.0007537929944233834
ADBE,-0.059807546882637855,-0.04946310804806179,-0.1406185389939462
ADP,-0.05222819883900884,-0.07589566224664983,-0.1349970198464705
AES,-0.05051097169211698,-0.06788334100493708,-0.07856081083748791
AFL,-0.06324238655989947,-0.09417245152972786,0.12778678389339101
AIG,0.07831717911840348,-0.08961569214415424,-0.02893438588039848
APD,-0.07328047230398659,-0.0709513446803188,-0.10972281985449361
AKAM,-0.07193963747457417,-0.06119393925591666,-0.1233390652853674
ALK,-0.05178740800398562,-0.0854291321777931,-0.0878945701990169
ALB,-0.05884584419198915,-0.06894176682526187,-0.09940849701602232
ARE,-0.029997652919063103,0.02052602061521757,0.032870372305024556
ALGN,-0.0576393113629246,-0.05065886856470738,-0.12095974429831975
ALLE,-0.06816442510598343,-0.066807146365845,-0.027466190887939158
LNT,-0.041706540763556094,-0.03943794200495694,-0.07710278088980041
ALL,-0.07634466141364372,0.06639299917262315,-0.05940252899306243
GOOGL,-0.0727956115410884,-0.06613826630043708,-0.1228047821453551
GOOG,-0.0727956115410884,-0.06613826630043708,-0.1228047821453551
MO,-0.04035067454143444,-0.03459082366499549,-0.021096880738186215
AMZN,-0.05308529491210567,-0.0582445669516559,-0.007009859160368675
AMD,-0.06806253047066495,-0.06087954129872959,-0.07067606949540292
AEE,-0.039431830822461426,-0.016104939391204047,-0.12300648501437578
AAL,-0.03878366407958381,-0.09111241131555824,-0.050131572127250265
AEP,-0.014778633692091883,-0.013582693897800643,-0.1372929482473504
AXP,-0.08061152343834939,-0.0757840971233151,-0.09898289267999344
AMT,-0.045223192222493734,-0.05009391128229964,-0.0706288320611701
AWK,-0.04509493079715464,-0.03715635679531938,-0.10149407600715428
AMP,-0.08141819916457367,-0.07945317921972336,-0.045870633254445875
ABC,-0.04913603280828681,-0.07433840374721126,0.21006673261023592
AME,-0.06509844770730609,-0.0703884750471906,-0.07353067623552606
AMGN,-0.06807035790572784,-0.06258385261424525,-0.13427695624773206
APH,-0.06805309955366975,-0.06660008026129793,-0.07569395634486366
ANSS,-0.06981998625464962,-0.06151735607449472,-0.14596429398249908
ANTM,-0.06194594864582397,-0.11381245956281755,0.1425623894906522
AON,-0.052363069217092814,-0.07489711344957778,-0.13196979757445207
APA,-0.05626312218469068,-0.03213009829905549,-0.142285173036546
AAPL,-0.05854871290088952,-0.06469459996153296,-0.07635563005301949
APTV,-0.06470485831961009,-0.0701107587324912,-0.03961589242091348
ANET,-0.07639864554723395,-0.06958360477352091,-0.1352527807392489
AIZ,-0.05374227715225268,-0.07066358721274422,0.04427327761097173
T,-0.04370187535242582,-0.04118347223463256,-0.06544963747433043
ATO,-0.028544046707002738,-0.005992220627900675,-0.14554477024503243
AVB,0.05170857521718344,0.10889141980592107,0.09374096351106934
BKR,-0.05964236312213394,-0.05744909302278814,-0.14071943214996227
BLL,-0.05201601358129816,-0.06987729671046797,0.007390161550381165
BAC,-0.08039532218665851,-0.07619116609297376,-0.14233077276562578
BAX,-0.07002492814730572,-0.06760145630907387,-0.08651315860138634
BDX,-0.06122468662923618,-0.059236885792719275,-0.08273482309217679
WRB,0.14370662786152164,-0.08267598653985352,0.06305869539695755
BIO,-0.06854415012980894,-0.06570555920675086,-0.10253536855039475
TECH,-0.07599050525782307,-0.058632856650960505,-0.08325476546496621
BIIB,-0.06658776295741795,-0.04987368097433286,-0.14075559863441817
BLK,-0.07921831290247469,-0.029409797280886957,-0.10924132406622439
BK,0.04637259045173241,-0.057511357361831134,0.007770860103437733
BA,-0.05948040816132703,-0.07675598588160044,-0.12997479443628812
BKNG,-0.07208009207403514,-0.07432490263230979,-0.11261961967057633
BWA,-0.06850615768668064,-0.06997072966191822,-0.04591691228514191
BXP,-0.0711751319518626,-0.05975388645718637,-0.11639520142763198
BSX,-0.06493595963977908,-0.055952881695918284,-0.06172582091275697
BRO,-0.060787325542624886,-0.06220498475879729,0.07050640874142261
CHRW,-0.05936422846239554,-0.06170386635735401,-0.1550392714578328
CDNS,-0.06230533792920842,0.019814270371496717,-0.11465497232863245
CZR,-0.06144866939759277,-0.0567528416812784,-0.12970400184986267
COF,-0.0695926139040558,-0.06624814544838917,-0.12605171131948056
KMX,-0.08181025816705446,-0.07191576620782035,-0.13462122668397242
CCL,-0.05352649499830549,-0.07266768770380995,0.19312529284089255
CARR,-0.07032856582178451,-0.06454762525213063,0.11390102552870812
CTLT,-0.046717484840607525,-0.0918513726891483,-0.11305934197405657
CBOE,-0.06965216232005184,-0.06955963670868472,-0.09131784389728753
CDW,-0.05586519720169625,-0.06179162395381138,-0.0638827735650013
CE,-0.056661215187709425,-0.06710463388963385,-0.007132043802938683
CNC,-0.06072497118052774,-0.0667895294189752,0.03906946982474057
CNP,-0.054145857397649974,-0.06865266203322562,-0.04539054577106231
CF,-0.055965229717072344,-0.07566256230123995,-0.14564127819168562
CRL,-0.06816546299809992,-0.047610073728531835,-0.1203772879557719
SCHW,-0.06346256765887477,-0.07212080379059763,0.009271858776430001
CHTR,-0.059945642473786746,-0.058668051780339826,-0.12002547016362804
CVX,-0.080600466432815,-0.07495480984792578,-0.1408809721845842
CMG,-0.0005146661882972831,0.11493789416192385,-0.06634284241756513
CB,-0.05662401343330478,-0.047818585292608344,-0.0078052385664696316
CHD,-0.06086244532815758,-0.04455428725884654,0.06577946741678013
CTAS,-0.04117792993869725,-0.09079738096689097,0.18966194508359716
CSCO,0.02481352846513873,-0.10511392145907568,0.5541466668025058
C,-0.06901337483223899,-0.043927641176657414,-0.10682073933464212
CTXS,-0.07855796908925111,-0.07395780841098752,-0.15333979728656236
CLX,-0.07595966323764078,-0.05592795106538046,0.12171990517238568
CMS,-0.059398815931705394,-0.04575928869489324,-0.010106074036802382
KO,-0.050532588482722116,-0.07679155778636093,-0.15404194028881976
CTSH,-0.04345300822307014,-0.03626369045850837,-0.13669328668226197
CL,-0.053662868477677164,-0.06479925829272058,-0.12641776399016733
CMCSA,-0.06990911030029306,-0.07218834975126753,-0.04873305311418149
CMA,-0.04907184957277936,-0.03453467662311837,-0.06208328727630075
CAG,-0.04738339556257284,-0.02233773522009979,-0.1084293504598019
COP,-0.0822596536363944,-0.07562525231665383,-0.14513594496529045
STZ,-0.06870629274592384,-0.06149302634550876,-0.10962521048792408
CEG,-0.027155292577157097,-0.03935182553006187,-0.08545550420361094
GLW,-0.07069736429157737,-0.061404061400766256,-0.07849099590130877
COST,-0.0645171098337943,-0.0783449265135005,-0.11840189467875326
CSX,-0.02965744721525557,-0.0020072053361971085,-0.09685486974361854
CVS,-0.06558169869526423,-0.06836264110248176,-0.06930397323823036
DHR,-0.08197442376268764,-0.050691910221467046,0.10824501354275803
DRI,-0.06670194582898953,-0.05840725029540205,-0.06538428378811509
DVA,-0.030817452830373078,-0.056684793310658566,0.027985728833435565
DE,-0.05869890831201466,-0.026311806533166487,-0.11505856110344771
DVN,-0.06750305806961203,-0.06472767017625355,-0.07551990873854887
DXCM,-0.0663772398748796,-0.05795001529641263,-0.14424235064852067
FANG,-0.07722422114344403,-0.06959843821006433,-0.1303410873690552
DLR,-0.010990025820495979,-0.18310490166400767,0.5323660457768101
DFS,-0.005245325758071685,-0.03483416702527862,-0.03485603026895319
DISCA,-0.06127388886506432,-0.07643582598059735,-0.12999789541072768
D,-0.05783549600875627,-0.053565506670342884,-0.1314487390898361
DOV,-0.0558170601074056,-0.05038756179626381,0.054919217324210796
DTE,-0.06575521079115178,-0.04948802146705957,0.004441679863532719
DRE,-0.06371417993284839,-0.07178935218564206,-0.03657077399208305
ETN,-0.06435382727028471,-0.07578397025257336,-0.0586072524695875
EBAY,-0.04867826905179771,-0.08121176129484091,-0.00422348756390726
ECL,-0.06590107091957187,-0.0669043449617487,-0.039566583029656606
EIX,-0.06061651707301305,-0.06475081583288299,-0.06649421862451027
EW,-0.06384250235153141,-0.0578993383602481,-0.13730978239318042
EA,-0.062144359291344604,-0.07242198496742468,-0.022330734778589042
EMR,-0.034651762906803295,-0.0186161740571371,-0.15639493849783884
ENPH,-0.07309625973938388,-0.056104924225747047,-0.10544121630526603
ETR,-0.07051040658120714,-0.06801690902956727,-0.1446341127584533
EOG,-0.06102227629170122,-0.06160943255222374,-0.03899974885742086
EPAM,-0.07252170569166386,-0.06911600522108573,-0.1304272341751618
EFX,-0.027505866563392954,-0.05159369459960044,-0.06322050788853936
EQR,-0.07462449600364153,-0.06747778095600736,-0.09428112775085444
ESS,-0.04880499203129372,-0.07202037333443186,-0.060983563345607575
EL,-0.05190083450006559,-0.06365647536614141,-0.10731956472286623
ETSY,0.09923381638675591,-0.1618571972485858,0.01997702407072493
RE,-0.06047201279064366,-0.03937642452628225,-0.11864650813801005
EXPE,-0.046814509378049964,-0.03088563308711549,-0.11450907782884986
EXR,-0.052677617600885934,-0.03518073460227499,-0.11833660170501824
XOM,-0.05519917914221114,-0.07533725167697869,-0.10997715805005384
FFIV,-0.06807951343524067,-0.07053147667908431,0.0037072022681773594
FDS,0.045099675891099096,0.16929747222373218,0.15592020048534214
FAST,-0.044748036778606885,-0.011390090896949114,-0.14192134298157588
FRT,-0.0590354636129157,-0.056704055412295666,-0.09954518176226192
FDX,-0.07166508660376901,-0.0687206131802508,-0.0698566626604633
FITB,-0.07491308046708084,-0.0595254328479049,-0.04811986387237072
FE,-0.06311684747719361,-0.03334982875411675,-0.048215216428233613
FIS,-0.08058534515030262,-0.07551280656019567,-0.14699717904009216
FMC,-0.04065908984177086,-0.06924003457179287,-0.059703974159109455
F,-0.05167568776880673,-0.0692511428694868,-0.1169425781834218
FTNT,-0.048084423630471246,-0.0702226670916473,-0.1424233940009968
FBHS,-0.055305903290776656,-0.07451278155996613,-0.08028347784923225
