ticker,da,roa,at
MMM,-0.11012083115082269,-0.0913876169205281,-0.16202097826300849
AOS,-0.10764569628797518,-0.09415649157113767,-0.08733203568058034
ABT,-0.09969809977527434,-0.0849282041156998,-0.10838542806213297
ABBV,-0.08928621907373407,-0.07709867174569607,-0.21983110813208964
ABMD,-0.12265108717732903,-0.10153021992677196,-0.18131491972813912
ACN,-0.09656854399451541,-0.0899796669626908,-0.052111911149018045
ATVI,-0.11698347799055496,-0.10060246009487252,-0.22897047711076254
ADM,-0.10085593487911029,-0.11075944388499259,0.08385415082558395
ADBE,-0.06575338806287606,-0.06517974654089811,-0.22946473708516804
ADP,-0.08341577193017452,-0.11164041833677782,-0.23075044779746637
AES,-0.0871240191091622,-0.10175830572544652,-0.11174071796638084
AFL,0.9988542974179598,-0.1577116912052092,0.3367701366644666
AIG,1.0181436280081018,-0.15515653433231105,0.1724997536668362
APD,-0.11203101543478954,-0.09632525237338384,-0.1239323612149936
AKAM,-0.11813362906496866,-0.09271908656389019,-0.2137845105739262
ALK,-0.05794157944284174,-0.06426914004367296,0.016939946898693388
ALB,-0.09630024720022028,-0.09811008148226193,-0.138042531638583
ARE,-0.06503581358272616,0.025872879561498755,-0.10785816967621256
ALGN,-0.1032023407572503,-0.08143121382913979,-0.2124311133877052
ALLE,-0.10567928738138531,-0.09534639480230823,0.0023687092682467374
LNT,-0.04106064819400313,-0.04858022523745945,-0.14402724412011725
ALL,0.5957116214127238,0.08329892978808018,-0.13868402093034007
GOOGL,-0.11827476860249968,-0.09845044580754654,-0.2100527992633538
GOOG,-0.11827476860249968,-0.09845044580754654,-0.2100527992633538
MO,-0.04515188852949096,-0.015828810169667216,-0.07308103368133359
AMZN,-0.08712119495006712,-0.08681348600278097,0.006611691857187321
AMD,-0.10807959273853718,-0.09294199353138845,-0.1297276227497019
AEE,-0.05751374755251797,-0.031341937588351285,-0.08886785995670249
AAL,-0.03275673411022239,-0.061208385733133495,0.06131016027875893
AEP,-0.03163383610551825,0.0025654956984703294,-0.2289009153431605
AXP,-0.12541856196160014,-0.11066287994112206,-0.10894718243025735
AMT,-0.033555563607825196,-0.036510233356191364,-0.18518488545383135
AWK,-0.04146355597891329,0.040832106091318196,-0.051641530099106527
AMP,-0.12915714460553507,-0.09172864156338198,-0.0808107228702329
ABC,-0.08043839833014661,-0.11252315769843599,0.4058673414870683
AME,-0.1074901445830543,-0.10238825802542303,-0.07903479858197031
AMGN,-0.11436203498499674,-0.0999543661843657,-0.24217211650622641
APH,-0.10687531208970912,-0.09822474831635922,-0.11671081244948482
ANSS,-0.11210114934625072,-0.08641218509980034,-0.24549907400714777
ANTM,-0.102712204060288,-0.17821781693427993,0.22806551843870748
AON,-0.08437713024698804,-0.11260525962323885,-0.21197245406308854
APA,-0.08413409980310092,-0.037302587709092,-0.215268704924497
AAPL,-0.09977256522267562,-0.09910941598677456,-0.14529146609272955
AMAT,-0.11003880997244532,-0.09776111224299686,-0.17242331484491638
APTV,-0.09639362207278425,-0.10206283059318652,-0.034440582066128024
ANET,-0.12285166129758007,-0.1016809833287316,-0.22001869430963145
AIZ,0.5851007134460209,-0.10106823488555507,0.11846529265449353
T,-0.06638666165156394,-0.05280280646630245,-0.1082190113765728
ATO,-0.004056732270296647,-0.00033116280593081923,-0.2473731889708459
ADSK,-0.05099456906034891,-0.06184697102567035,-0.24032245472806968
AZO,-0.07829337080682065,-0.06478753771223106,-0.10426135247926345
AVB,-0.028782306070851776,0.05391753110552809,-0.0664537920645104
BKR,-0.10061058117263601,-0.10846512312837424,-0.23612614485399705
BLL,-0.08361771476498181,-0.10250003841392058,0.015052647365502247
BAC,-0.12214711959126104,-0.1126505473188719,-0.21968717024216566
BAX,-0.11357611078199428,-0.09644810115802065,-0.12477437668000461
BDX,-0.0901928332159567,-0.07524878273438684,-0.11338301773314896
WRB,0.9231797967804346,-0.1358422969855318,0.8201938717848081
BIO,-0.1207943382291438,-0.09903385199202934,-0.16501670573300423
TECH,-0.12015822419709185,-0.07999275324713477,-0.09999413363664965
BIIB,-0.10576508325071565,-0.07084429897671794,-0.2385021664362073
BLK,-0.11947425881580896,0.02112802527558619,-0.1371425426504799
BK,-0.03714800269196585,-0.09360153560718325,-0.09962615169100547
BA,-0.08755343634762341,-0.11403832581608482,-0.18977447857132232
BKNG,-0.10455907853801547,-0.0663828146310665,-0.22190226761060677
BWA,-0.10054115950009467,-0.101348734914587,-0.05196334275413776
BXP,-0.09097219926041104,-0.04682541015220088,-0.10963980336688298
BSX,-0.08879562234172335,-0.06797358304492584,-0.08738820881050237
BRO,-0.08529377909975626,-0.09253165142606377,0.08772864657263069
CHRW,-0.0913599229977264,-0.08816233287589721,-0.2597381539845652
CDNS,-0.10529098095309969,0.04025599057680999,-0.18666260153011685
CZR,-0.10264527638898056,-0.0691527363402434,-0.1928548442955307
