ticker,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
MMM,USD,48307000000,16343000000,4695000000,805000000,4842000000,4991000000,31995000000,9358000000,17774000000,19294000000,5572000000,13722000000,836000000,31000000,805000000,377000000,2440000000,33791000000,9440000000,2931000000,475000000,1981000000,2249000000,24351000000,871000000,18232000000,1981000000,16267000000,18232000000,3181000000,3297000000,14448000000,29236000000,44824000000,9000000,578638253,1887000000,None,None,73000000,472000000,472000000,394000000,132000000,340000000,1525000000,-674000000,-1183000000,-2000000,503000000,503000000,None,858000000,858000000,None,None,None,None,-316000000,187000000,1525000000,29000000,1524000000,4231000000,8950000000,4719000000,4719000000,1971000000,1746000000,514000000,1880000000,None,-121000000,-113000000,121000000,8902000000,-31000000,None,134000000,1939000000,415000000,121000000,1523000000,1805000000,2060000000,2194000000,2021-07-27,2.59,2.2765,0.3135,13.7711
AOS,USD,3140200000,1585700000,444800000,581900000,330400000,607000000,1554500000,539700000,706400000,865900000,318000000,547900000,137100000,None,137100000,66400000,106900000,1323900000,907000000,612400000,92900000,6800000,6800000,416900000,33900000,0,6800000,99600000,140300000,287800000,188300000,1816300000,1344400000,2641600000,295300000,160241814,91600000,None,None,None,None,19500000,13600000,None,-109500000,118200000,-62500000,-162800000,0,131100000,131100000,None,41700000,41700000,None,None,0,None,-131100000,None,118700000,None,118200000,321400000,858900000,711500000,538400000,164000000,173100000,None,173100000,None,-900000,None,900000,859800000,3900000,None,19500000,151300000,33100000,900000,118200000,127800000,152200000,171700000,2021-07-29,0.73,0.6506,0.0794,12.2041
ABT,USD,73269000000,22627000000,8658000000,8944000000,5439000000,6113000000,46787000000,8816000000,10258000000,37166000000,13681000000,23485000000,260000000,805000000,286000000,141000000,None,39469000000,12614000000,4017000000,406000000,954000000,199000000,17547000000,None,19057000000,755000000,17547000000,19256000000,7643000000,None,33800000000,10340000000,29053000000,24153000000,1779203000,2128000000,445000000,None,None,-30000000,874000000,413000000,-35000000,5000000,1189000000,-264000000,-1264000000,-4000000,471000000,471000000,None,803000000,803000000,None,None,0,None,-454000000,None,2537000000,None,1189000000,2416000000,10089000000,7673000000,4947000000,1392000000,2726000000,654000000,3380000000,11000000,-134000000,-123000000,134000000,10223000000,79000000,370000000,504000000,1348000000,159000000,134000000,1189000000,1408000000,1482000000,1986000000,2021-07-22,1.17,1.0181,0.1519,14.9199
ABBV,USD,147972000000,25999000000,8546000000,8600000000,3386000000,9914000000,121973000000,5161000000,5655000000,111738000000,79340000000,32398000000,None,266000000,54000000,4099000000,4808000000,135403000000,28684000000,None,None,7901000000,17000000,106694000000,None,74237000000,7884000000,None,17000000,20783000000,28796000000,12569000000,3022000000,740000000,18000000,1769000000,4890000000,None,None,72000000,309000000,2201000000,195000000,296000000,62000000,769000000,-242000000,-5884000000,0,10000000,10000000,None,2310000000,2310000000,None,None,0,None,63000000,None,970000000,27000000,766000000,4272000000,13959000000,9687000000,4523000000,4441000000,3164000000,1899000000,7063000000,9000000,-615000000,9000000,615000000,-14000000,-2658000000,201000000,2000000000,1160000000,394000000,615000000,769000000,958000000,1775000000,3775000000,2021-07-30,3.11,3.0321,0.0779,2.5692
ABMD,USD,1458394000,729873000,175454000,175454000,83661000,88645000,777317000,198234000,88027000,164008000,85008000,79000000,55418000,281776000,347577000,34536000,122643000,150872000,113123000,29807000,24094000,None,None,41283000,None,None,None,None,None,2760000,11314000,1307522000,297619000,801482000,454000,45377715,55359000,18598000,None,-5040000,5704000,918000,7170000,-8763000,5770000,-26525000,-109055000,-7470000,None,0,0,None,None,None,None,None,None,None,2120000,None,-57256000,3910000,-26525000,97006000,252585000,155579000,45188000,-49285000,103484000,37708000,148040000,1050000,None,None,None,252585000,38885000,None,6907000,-9350000,17175000,None,-26525000,-27291000,-49285000,-42378000,2021-08-04,1.1,1.0317,0.0683,6.6201
ACN,USD,42124884000,21144858000,10009380000,10013813000,None,8637841000,20980026000,1538778000,2552204000,10361122000,1216809000,9144313000,344411000,327497000,4433000,1657604000,1843553000,22782039000,14929559000,1926910000,4929647000,9157000,742728000,7301361000,3377080000,61629000,9157000,None,3447866000,729499000,545994000,19342845000,4639423000,15004281000,72000,635203753,2401150000,344477000,None,741403000,719787000,218482000,158212000,625060000,None,3661874000,-572688000,-1012368000,0,834995000,834995000,None,559070000,559070000,None,None,None,None,-442517000,None,3786376000,None,1549426000,2024676000,13263795000,11239119000,8859411000,2118656000,2285728000,None,2379708000,4551000,-28739000,4551000,28739000,-13165000,-467000,124502000,93980000,2073855000,524429000,28739000,1569572000,1699107000,2102594000,2196574000,2021-06-24,2.4,2.2363,0.1637,7.3201
ATVI,USD,23572000000,10887000000,9209000000,9209000000,None,682000000,12418000000,174000000,None,10214000000,449000000,9765000000,None,None,None,747000000,583000000,7286000000,2253000000,217000000,2158000000,None,None,5033000000,None,3606000000,None,3606000000,3606000000,978000000,916000000,16286000000,5563000000,10821000000,0,777000000,388000000,None,None,-561000000,-115000000,2000000,14000000,-93000000,None,876000000,-88000000,-376000000,None,0,0,None,365000000,365000000,None,None,0,None,38000000,None,898000000,-16000000,876000000,1836000000,2285000000,449000000,555000000,959000000,434000000,335000000,784000000,None,-27000000,1000000,27000000,2312000000,43000000,None,28000000,1002000000,126000000,27000000,876000000,883000000,959000000,1057000000,2021-08-03,0.9093,0.7547,0.1546,20.485
ADM,USD,50958000000,28504000000,869000000,869000000,11446000000,3478000000,22454000000,9873000000,16674000000,5266000000,5266000000,None,7394000000,5113000000,7114000000,5597000000,1159000000,36943000000,17296000000,3441000000,357000000,1289000000,1289000000,11988000000,1068000000,8432000000,0,8432000000,1289000000,4479000000,1385000000,21582000000,None,20762000000,2941000000,564000000,2709000000,None,None,232000000,-1533000000,243000000,253000000,195000000,-1361000000,712000000,-225000000,-1653000000,-1481000000,0,0,None,209000000,209000000,None,None,2000000,None,0,None,712000000,None,712000000,1463000000,22926000000,21463000000,21463000000,701000000,739000000,None,762000000,None,-40000000,173000000,40000000,22409000000,-49000000,None,243000000,825000000,113000000,40000000,712000000,869000000,865000000,1108000000,2021-07-27,1.33,1.0356,0.2944,28.428
ADBE,USD,25582000000,8078000000,4250000000,5768000000,None,None,17504000000,1573000000,None,1641000000,1641000000,11859000000,None,None,1518000000,833000000,805000000,11730000000,6145000000,312000000,None,None,96000000,5585000000,573000000,4120000000,None,None,4693000000,1593000000,259000000,13852000000,15442000000,21538000000,0,477000000,,,,,,,,,,,,,,,,,,,,,,,,,,,1116000000,3391000000,3835000000,444000000,444000000,1406000000,256000000,612000000,1985000000,None,-28000000,None,28000000,None,8000000,None,194000000,1386000000,270000000,None,1116000000,1136000000,1414000000,1608000000,2021-06-17,3.03,2.8174,0.2126,7.546
ADP,USD,48772500000,40741800000,2575200000,2585600000,None,2727400000,5876500000,684500000,1560000000,3548500000,1210100000,2338400000,2609100000,23500000,10400000,533400000,825800000,43102400000,38094800000,141100000,1082400000,1200000,0,5165100000,343200000,5991900000,1200000,2985000000,5991900000,37726300000,834100000,5670100000,15386800000,19451100000,63900000,423700000,652800000,1244800000,None,100900000,210000000,126000000,120400000,-25400000,None,538200000,-1148600000,-6486200000,0,469800000,469800000,None,396000000,396000000,None,None,990400000,None,-469800000,None,-6982000000,None,538200000,463300000,3768400000,3305100000,2205500000,-2283900000,840700000,None,2747200000,7600000,-17300000,7500000,17300000,3740700000,23600000,None,264800000,697100000,158900000,17300000,538200000,806500000,714400000,979200000,2021-07-28,1.2,1.1388,0.0612,5.3741
