ticker,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
MMM,USD,42550000000,18020000000,29970000000,30000000000,4007000000,5020000000,24576000000,8891000000,16617000000,13257000000,2847000000,10410000000,76000000,46000000,30000000,515000000,1548000000,31786000000,7821000000,2079000000,605000000,259000000,1960000000,24081000000,116000000,18794000000,241000000,17479000000,18794000000,2735000000,3235000000,10702000000,29865000000,42085000000,9000000,576500000,2022000000,76000000,None,61000000,-424000000,379000000,349000000,-244000000,-180000000,1588000000,90000000,2804000000,-25000000,142000000,142000000,None,828000000,828000000,None,None,None,None,-70000000,72000000,1588000000,-34000000,1583000000,3803000000,7991000000,4188000000,4188000000,2011000000,1455000000,443000000,1364000000,None,-109000000,26000000,109000000,8166000000,-45000000,None,74000000,1961000000,378000000,109000000,1588000000,1467000000,2070000000,2144000000,2019-10-24,2.58,2.4981,0.0819,3.2785
AOS,USD,3067900000,1504400000,219400000,513800000,310000000,614100000,1563500000,543600000,593900000,886900000,339500000,547400000,294400000,None,294400000,66500000,84700000,1411700000,730400000,483100000,43700000,19000000,6800000,681300000,39600000,312400000,6800000,312400000,319200000,44700000,292800000,1656200000,1056400000,2271500000,164500000,164298458,136300000,200000,None,None,None,19700000,13800000,None,6300000,87300000,-23800000,-174700000,0,97400000,97400000,None,36000000,36000000,None,None,0,None,-97400000,None,87800000,None,87300000,284200000,725100000,616300000,444000000,125700000,172300000,None,172300000,None,-3100000,None,3100000,728200000,4000000,None,19700000,112800000,25500000,3100000,87300000,64100000,115900000,135600000,2019-10-29,0.53,0.532,-0.002,-0.3759
ABT,USD,68539000000,16119000000,4091000000,4335000000,4392000000,5450000000,50091000000,7825000000,8518000000,40511000000,17465000000,23046000000,335000000,874000000,244000000,1942000000,-35000000,36722000000,10491000000,3029000000,295000000,1660000000,204000000,18341000000,None,20147000000,1254000000,17639000000,20351000000,729000000,None,31817000000,9631000000,25440000000,23771000000,1771521000,1948000000,64000000,None,None,212000000,754000000,401000000,22000000,190000000,960000000,-432000000,-513000000,12000000,1000000,1000000,None,569000000,569000000,None,None,0,None,46000000,None,896000000,None,960000000,4234000000,7902000000,5798000000,3358000000,1198000000,2440000000,596000000,3036000000,24000000,-167000000,24000000,167000000,8069000000,55000000,270000000,484000000,1103000000,143000000,167000000,960000000,562000000,1270000000,1754000000,2019-10-16,0.84,0.8413,-0.0013,-0.1545
ABBV,USD,59441000000,20166000000,10648000000,10648000000,1929000000,5529000000,39275000000,2894000000,5598000000,34573000000,19036000000,15537000000,None,131000000,0,2060000000,1677000000,67144000000,17493000000,None,None,5276000000,0,49116000000,None,33126000000,5276000000,None,0,539000000,15990000000,-8226000000,24501000000,3673000000,18000000,1481000000,4555000000,None,None,705000000,-56000000,503000000,154000000,111000000,113000000,1884000000,1378000000,-441000000,-306000000,4000000,4000000,None,1591000000,1591000000,None,None,0,None,-3000000,None,5476000000,-16000000,1884000000,6559000000,8479000000,1920000000,1920000000,2617000000,1657000000,2285000000,4353000000,60000000,-480000000,60000000,480000000,-19000000,-177000000,114000000,389000000,2001000000,117000000,480000000,1884000000,1847000000,2481000000,2870000000,2019-11-01,2.33,2.2987,0.0313,1.3616
ABMD,USD,1124348000,647432000,150279000,150279000,90295000,94319000,424896000,157896000,47023000,46527000,14800000,31727000,81836000,3000000,295041000,17498000,99191000,132891000,112229000,31736000,19322000,3264000,None,29301000,None,None,3264000,None,None,3264000,9626000,991457000,214926000,501467000,452000,45238952,74259000,500000,None,5460000,14254000,-970000,12357000,8629000,4965000,13071000,7926000,-31729000,None,0,0,None,None,None,None,None,None,None,-31065000,None,20881000,-1225000,13071000,84151000,204974000,120823000,34867000,60182000,85956000,23969000,109925000,2932000,None,-42668000,400000,204974000,-45756000,None,4687000,17358000,4287000,None,13058000,7270000,60182000,64869000,2019-10-31,1.0261,0.93,0.0961,10.3333
ACN,USD,29789880000,15450601000,6126853000,6130166000,None,7467338000,14339279000,1391166000,1956029000,7046329000,840779000,6205550000,88811000,240313000,3313000,9320435000,5528239000,15380872000,11061896000,1646641000,3754059000,6411000,6411000,3900293000,None,16247000,6411000,None,22658000,504751000,3185590000,14409008000,1388376000,10421538000,72000,637049388,2116253000,534756000,None,779068000,198469000,240168000,241260000,32564000,None,1145548000,-375868000,-351018000,0,406527000,406527000,None,0,0,None,None,None,None,-312535000,None,1357695000,-31672000,1130427000,3434616000,11055650000,7621034000,7621034000,1571493000,1863123000,None,2714474000,27394000,-7491000,27394000,7491000,23866000,-30644000,118050000,51617000,1545631000,415204000,7491000,1145548000,756359000,1553122000,1604739000,2019-09-26,1.74,1.7123,0.0277,1.6177
ATVI,USD,17805000000,6012000000,4939000000,4939000000,102000000,386000000,11327000000,249000000,None,10347000000,583000000,9764000000,None,42000000,None,345000000,731000000,5570000000,1751000000,274000000,None,None,None,3796000000,None,2674000000,None,2674000000,2674000000,695000000,1122000000,12235000000,5563000000,7289000000,0,767000000,309000000,11000000,None,83000000,57000000,51000000,34000000,-65000000,61000000,204000000,42000000,23000000,None,0,0,None,0,0,None,None,0,None,30000000,None,194000000,None,204000000,826000000,1259000000,442000000,442000000,247000000,359000000,210000000,643000000,None,-23000000,20000000,23000000,1282000000,2000000,None,80000000,249000000,45000000,23000000,204000000,205000000,247000000,352000000,2019-11-07,0.32,0.2325,0.0875,37.6344
ADM,USD,41804000000,19178000000,932000000,958000000,8075000000,2241000000,23436000000,10101000000,15633000000,5401000000,4544000000,857000000,6034000000,5409000000,26000000,3515000000,1715000000,27920000000,12020000000,2973000000,319000000,1443000000,1242000000,10836000000,186000000,7631000000,15000000,7631000000,1242000000,2927000000,1903000000,18873000000,None,18651000000,2617000000,562000000,-926000000,51000000,None,-8000000,1789000000,249000000,183000000,1954000000,-142000000,408000000,1905000000,-703000000,-453000000,56000000,56000000,None,197000000,197000000,None,None,1000000,None,-56000000,None,408000000,None,407000000,1078000000,16726000000,15648000000,15648000000,447000000,578000000,None,631000000,47000000,-97000000,47000000,97000000,16809000000,18000000,None,249000000,502000000,95000000,97000000,408000000,142000000,599000000,848000000,2019-10-31,0.77,0.707,0.063,8.9109
ADBE,USD,20054880000,5750096000,2209000000,3650788000,None,1370000000,14620484000,1244011000,None,12503693000,1815625000,10688068000,1441741000,None,1441741000,727611000,557080000,9812107000,7802966000,186999000,3260000000,3148587000,3148587000,891311000,None,988429000,3148587000,None,988429000,3120186000,169787000,10243000000,9874652000,13976701000,61000,484903000,922000000,46593000,None,-97122000,247170000,193000000,89624000,100000000,None,792763000,-165000000,-624000000,None,750000000,750000000,None,None,None,None,None,0,None,-591672000,158000000,126137000,-7000000,793000000,2418000000,2834000000,416000000,58800000,854000000,1031570000,489827000,1564000000,17760000,-39529000,471000,40000000,-1292000,17000000,None,101800000,835000000,42000000,39529000,792763000,743000000,875000000,976800000,,,,,
ADBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-17,2.05,1.9737,0.0763,3.8658
